zAxis data_
942.93359375 4862.87646484375
944.08203125 5006.09716796875
945.2314453125 4939.62109375
946.37890625 4915.978515625
947.52734375 5086.39208984375
948.6748046875 5053.74365234375
949.822265625 5212.98193359375
950.9697265625 5383.58642578125
952.1162109375 5360.01904296875
953.263671875 5392.92236328125
954.41015625 5554.650390625
955.5556640625 5707.4140625
956.701171875 5620.59423828125
957.84765625 5940.791015625
958.9921875 5903.74755859375
960.1376953125 5968.49951171875
961.2822265625 5831.8701171875
962.4267578125 5991.705078125
963.5712890625 5913.8828125
964.71484375 5783.93603515625
965.8583984375 5701.49609375
967.001953125 5623.5478515625
968.14453125 5713.26611328125
969.2880859375 5399.53515625
970.4306640625 5387.21142578125
971.572265625 5304.5771484375
972.71484375 5226.43994140625
973.8564453125 5025.74169921875
974.998046875 4952.0400390625
976.1396484375 4712.58984375
977.2802734375 4720.5185546875
978.4208984375 4685.29931640625
979.5615234375 4704.58251953125
980.701171875 4628.44287109375
981.841796875 4540.90283203125
982.98046875 4482.87353515625
984.1201171875 4461.197265625
985.259765625 4566.873046875
986.3984375 4570.22900390625
987.537109375 4441.6123046875
988.6748046875 4465.42333984375
989.8125 4480.13916015625
990.9501953125 4406.05712890625
992.087890625 4400.26708984375
993.2255859375 4405.8642578125
994.3623046875 4438.80712890625
995.4990234375 4437.578125
996.634765625 4459.14501953125
997.771484375 4569.65234375
998.9072265625 4561.609375
1000.04296875 4496.52880859375
1001.177734375 4607.1220703125
1002.3125 4599.0810546875
1003.447265625 4700.6181640625
1004.58203125 4669.759765625
1005.716796875 4483.5712890625
1006.8505859375 4347.5556640625
1007.984375 4337.15673828125
1009.1171875 4479.89208984375
1010.2509765625 4423.794921875
1011.3837890625 4408.83203125
1012.5166015625 4485.35302734375
1013.6484375 4470.396484375
1014.7802734375 4423.39599609375
1015.912109375 4474.79541015625
1017.0439453125 4480.43017578125
1018.1748046875 4364.69775390625
1019.306640625 4390.9228515625
1020.4365234375 4517.966796875
1021.5673828125 4532.78125
1022.697265625 4522.38916015625
1023.8271484375 4440.9189453125
1024.95703125 4485.53662109375
1026.0869140625 4612.75048828125
1027.2158203125 4462.4130859375
1028.3447265625 4470.34912109375
1029.4736328125 4554.03564453125
1030.6015625 4481.638671875
1031.7294921875 4501.0654296875
1032.857421875 4442.4033203125
1033.9853515625 4576.70654296875
1035.1123046875 4499.6484375
1036.2392578125 4477.72119140625
1037.3662109375 4414.39794921875
1038.4931640625 4493.62646484375
1039.619140625 4499.2841796875
1040.7451171875 4461.228515625
1041.87109375 4427.7578125
1042.99609375 4520.87353515625
1044.12109375 4489.70263671875
1045.24609375 4463.1220703125
1046.37109375 4480.29541015625
1047.4951171875 4435.26708984375
1048.619140625 4459.35498046875
1049.7431640625 4361.2822265625
1050.8671875 4565.20458984375
1051.990234375 4460.19140625
1053.11328125 4325.140625
1054.236328125 4547.65478515625
1055.3583984375 4590.26318359375
1056.48046875 4584.4150390625
1057.6025390625 4407.70458984375
1058.724609375 4399.50048828125
1059.845703125 4462.90234375
1060.966796875 4413.1171875
1062.087890625 4534.32763671875
1063.208984375 4590.869140625
1064.3291015625 4601.19384765625
1065.44921875 4569.89404296875
1066.5693359375 4587.15771484375
1067.689453125 4569.7216796875
